Dress_CODE,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
100428,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,0
100429,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1
100430,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,0
100432,Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,0
100433,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,null,null,bow,solid,1
100435,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,null,null,patchwork,1
100436,vintage,Average,4.6,free,Winter,o-neck,full,natural,null,chiffon,null,print,1
100439,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,null,button,solid,1
100440,Brief,Average,5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,1
100443,Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,null,null,print,0
100444,vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork,1
100446,Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,null,lace,geometric,0
100447,Casual,Average,0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,1
100448,Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,null,null,solid,0
100449,Casual,Medium,0,L,Winter,boat-neck,full,empire,null,null,null,solid,1
100450,Sexy,Low,5,free,Summer,v-neck,sleevless,empire,null,chiffon,null,animal,1
100451,Casual,Low,4.3,free,Summer,o-neck,sleevless,null,milksilk,null,null,animal,0
100452,Casual,Average,0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,1
100453,Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,1
100454,sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,null,lace,geometric,0
100455,Novelty,Average,0,S,Winter,turndowncollor,full,natural,cotton,null,null,patchwork,0
100456,Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,null,null,solid,1
100457,sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,null,null,lace,solid,1
100459,work,Average,0,M,Automn,slash-neck,sleevless,natural,polyster,null,bow,patchwork,0
100460,cute,High,0,M,Spring,v-neck,full,natural,rayon,null,null,solid,1
100461,Casual,Average,0,free,Spring,o-neck,short,natural,cotton,null,hollowout,plaid,0
100462,Casual,Average,5,M,Summer,o-neck,short,empire,polyster,chiffon,null,animal,0
100463,Casual,Average,4.7,M,spring,o-neck,sleevless,natural,null,chiffon,sashes,solid,0
100464,Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,null,null,solid,1
100465,Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,0
100466,Casual,Low,0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,0
100467,Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,null,null,patchwork,1
100468,work,Average,4.8,L,Summer,v-neck,short,natural,polyster,null,hollowout,solid,0
100469,Casual,Medium,0,M,Automn,v-neck,short,empire,polyster,null,null,solid,0
100470,bohemian,Average,5,free,Summer,v-neck,sleevless,natural,cotton,batik,null,print,1
100471,sexy,Low,0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,1
100472,Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,null,solid,0
100473,Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,0
100475,Casual,Low,4.7,L,Spring,o-neck,short,null,chiffonfabric,chiffon,bow,dot,0
100476,Casual,Average,5,XL,Winter,boat-neck,full,null,cotton,null,null,geometric,1
100477,Casual,Low,0,free,Spring,v-neck,sleevless,null,cotton,null,null,print,0
100478,Casual,Average,0,free,Spring,o-neck,sleevless,natural,null,chiffon,null,solid,0
100479,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,null,polyster,null,null,null,1
100480,Casual,Low,5,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,0
100481,party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,0
100482,Sexy,Low,5,free,Spring,o-neck,full,natural,cotton,worsted,null,striped,0
100483,vintage,Low,4.6,M,Summer,o-neck,short,natural,null,chiffon,null,print,0
100484,Casual,Average,0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,0
100485,Casual,low,4.9,L,Summer,boat-neck,short,null,null,chiffon,null,patchwork,1
100486,Casual,Low,0,S,Automn,o-neck,full,natural,null,null,beading,solid,1
100487,Sexy,Average,4,S,Automn,v-neck,sleevless,null,rayon,chiffon,null,patchwork,1
100488,Sexy,Low,5,M,Automn,o-neck,full,natural,null,chiffon,lace,print,1
100489,Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,null,cotton,null,null,solid,0
100490,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,applique,patchwork,1
100491,Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,null,pockets,solid,1
100492,OL,Medium,0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,null,sashes,solid,0
100493,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,null,null,solid,0
100494,Casual,Medium,0,S,Spring,v-neck,full,null,null,null,null,animal,1
100495,Casual,Medium,0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,1
100496,Casual,Average,0,M,Spring,o-neck,sleevless,natural,silk,null,null,print,0
100497,Casual,Average,0,free,Winter,v-neck,full,natural,null,chiffon,ruffles,print,0
100500,fashion,Average,4,free,Summer,open,full,null,cotton,null,sequined,solid,0
100501,Casual,Average,4.7,L,Summer,v-neck,short,natural,null,null,null,print,1
100502,Casual,Low,0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,null,patchwork,1
100503,bohemian,Low,4.8,free,Summer,o-neck,short,null,null,null,null,animal,1
100504,work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,null,Tiered,solid,0
100507,Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,null,null,solid,1
100508,Casual,Medium,0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1
100509,Casual,Average,4.7,L,Automn,o-neck,halfsleeve,null,null,null,lace,null,0
100510,Sexy,Average,0,L,Automn,v-neck,sleevless,empire,null,chiffon,null,patchwork,0
100511,Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,null,solid,1
100512,Casual,Average,0,M,Automn,o-neck,short,empire,polyster,null,applique,print,0
100514,party,Average,5,M,Spring,o-neck,halfsleeve,natural,null,null,null,null,1
100515,cute,Average,4.3,L,Winter,o-neck,sleevless,natural,null,chiffon,null,solid,0
100516,Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,null,patchwork,0
100517,Casual,Low,4.7,L,Automn,o-neck,full,null,cotton,chiffon,lace,print,0
100518,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,0
100519,sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,1
100520,work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,0
100521,vintage,Average,0,free,Summer,o-neck,sleevless,null,null,null,null,null,0
100522,Sexy,Low,4.6,free,Spring,o-neck,full,natural,null,null,lace,leopard,1
100524,work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,null,patchwork,0
100525,Casual,Average,4.4,M,Summer,o-neck,short,empire,null,null,lace,patchwork,0
100526,cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,0
100527,Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,0
100528,party,Average,4.4,free,Automn,v-neck,threequarter,natural,null,null,null,solid,0
100529,Casual,Average,0,free,Spring,o-neck,short,null,cotton,null,lace,null,1
100530,Casual,Low,0,M,Summer,v-neck,full,natural,acrylic,null,lace,solid,0
100531,Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,null,null,patchwork,1
100532,work,Average,4.6,M,Spring,v-neck,full,null,null,chiffon,null,null,0
100533,cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,null,lace,solid,0
100534,bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,null,chiffon,null,solid,0
100535,cute,High,0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,0
100538,Casual,Low,4.7,M,Automn,o-neck,full,null,cotton,null,null,solid,0
100539,cute,Average,4.3,free,Summer,boat-neck,sleevless,null,null,null,null,null,1
100540,Sexy,Low,0,free,Automn,slash-neck,short,empire,null,null,hollowout,solid,0
100541,cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,0
100542,Sexy,low,4.5,L,Spring,o-neck,sleevless,null,null,null,lace,solid,0
100543,Casual,Average,4.7,M,Automn,o-neck,sleevless,null,cotton,null,null,animal,1
100544,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,lace,solid,1
100546,Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid,0
100547,Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,null,ruffles,solid,0
100549,cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,1
100550,Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,null,solid,0
100551,vintage,Medium,0,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,null,plaid,0
100554,Casual,low,0,free,Spring,v-neck,threequarter,null,silk,null,lace,null,1
100555,Sexy,Average,0,S,Automn,slash-neck,short,natural,null,null,lace,solid,0
100556,Casual,Low,0,free,Spring,o-neck,short,natural,null,null,hollowout,solid,0
100557,cute,Medium,5,free,Winter,o-neck,sleevless,natural,silk,null,lace,solid,1
100558,Casual,Low,4.7,free,Summer,o-neck,sleevless,null,null,null,null,print,0
100560,Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,null,bow,patchwork,0
100561,vintage,Average,0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,0
100563,vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork,0
100564,cute,Average,0,XL,Spring,boat-neck,full,null,cotton,worsted,applique,dot,1
100565,Casual,Average,0,L,Winter,open,short,natural,mix,poplin,applique,solid,1
100567,Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,null,null,null,solid,0
100568,Casual,High,4.9,S,Spring,o-neck,threequarter,natural,null,null,null,dot,1
100569,Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,null,sashes,solid,0
100570,Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,0
100572,Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,0
100573,Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,null,chiffon,button,striped,0
100574,work,Average,0,S,Automn,o-neck,sleevless,natural,linen,null,null,patchwork,0
100575,Casual,Low,0,L,Winter,o-neck,sleevless,empire,polyster,null,null,leopard,0
100576,cute,low,5,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,0
100577,Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,1
100578,Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,null,null,leopard,0
100579,cute,low,0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,0
100580,Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,null,null,solid,1
100581,Sexy,low,4.7,M,Winter,slash-neck,sleevless,null,nylon,null,sashes,solid,1
100582,Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,null,floral,0
100583,Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,0
100584,Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,1
100585,bohemian,Average,0,L,Winter,turndowncollor,full,natural,mix,null,null,solid,0
100586,Casual,Low,0,free,0,o-neck,full,natural,cotton,null,null,patchwork,0
100587,cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,1
100589,Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,null,null,solid,1
100590,vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,null,lace,solid,1
100592,cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,null,rivet,solid,0
100593,cute,Average,0,M,Summer,o-neck,short,natural,cotton,chiffon,null,print,0
100595,Casual,low,4.6,free,winter,o-neck,full,natural,polyster,null,applique,solid,1
100596,party,Average,5,free,Summer,v-neck,sleevless,null,null,null,null,null,0
100597,Casual,Average,0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,null,patchwork,0
100598,Sexy,Average,5,L,winter,o-neck,threequarter,natural,polyster,null,lace,geometric,0
100600,Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,null,null,dot,0
100601,Casual,Average,4.1,M,Automn,v-neck,full,null,null,chiffon,sashes,null,1
100602,Casual,Average,5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,null,null,0
100603,Sexy,Average,5,M,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,1
100606,vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,null,worsted,null,solid,0
100607,Casual,Average,0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,null,solid,1
100608,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,null,print,0
100609,bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,null,sashes,print,0
100610,Casual,low,5,free,Spring,slash-neck,sleevless,empire,spandex,null,null,striped,1
100611,Casual,Average,5,M,Winter,o-neck,sleevless,natural,null,chiffon,sashes,solid,1
100612,Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,null,striped,0
100613,work,low,4.5,M,Winter,v-neck,threequarter,null,null,null,null,patchwork,0
100614,Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,null,lace,patchwork,1
100616,sexy,Low,4.3,M,Automn,open,short,natural,lace,null,lace,print,0
100617,Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,1
100618,Casual,low,4.6,L,Winter,o-neck,full,null,cotton,null,null,null,0
100621,Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,null,chiffon,null,null,1
100622,Casual,Average,0,S,Summer,o-neck,sleevless,empire,cotton,null,null,solid,0
100624,Casual,Average,5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,null,plaid,0
100627,Casual,Average,4.8,M,Automn,v-neck,short,null,null,chiffon,embroidary,print,1
100628,Casual,Average,5,free,Summer,v-neck,sleevless,null,modal,null,null,patchwork,0
100630,Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,null,striped,0
100632,Casual,low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,null,null,print,0
100634,Casual,low,4.8,free,Spring,o-neck,sleevless,null,chiffonfabric,chiffon,null,print,1
100635,Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,null,applique,dot,0
100636,bohemian,Average,5,M,Spring,slash-neck,sleevless,empire,null,chiffon,ruffles,solid,1
100638,Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,0
100639,Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,null,null,solid,1
100640,Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,0
100641,Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,null,patchwork,0
100642,Casual,Average,3.5,M,winter,v-neck,short,natural,null,null,null,solid,0
100643,Casual,Average,4.8,M,winter,o-neck,threequarter,natural,null,null,null,print,1
100644,Casual,Average,0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,1
100645,Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,null,sashes,striped,0
100646,Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,null,broadcloth,null,print,1
100647,Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,null,button,solid,0
100648,Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,null,null,character,0
100649,Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,null,solid,0
100650,Casual,low,4.7,S,summer,o-neck,full,natural,cotton,null,null,patchwork,0
100651,cute,Low,0,free,Summer,boat-neck,sleevless,null,cotton,null,null,print,0
100653,Casual,Average,4.9,M,Automn,v-neck,sleevless,null,polyster,null,null,null,1
100656,Casual,Low,4.4,M,Winter,v-neck,turndowncollor,null,cotton,null,null,null,1
100657,party,very-high,0,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,null,1
100658,party,high,0,M,Winter,Sweetheart,sleevless,natural,null,null,pearls,null,0
100660,party,Average,5,M,Winter,o-neck,capsleeves,empire,polyster,null,lace,null,1
100661,party,high,4.7,M,Winter,sweetheart,sleeveless,natural,null,chiffon,flowers,null,0
100662,party,0,4.8,free,Winter,o-neck,sleevless,empire,null,null,embroidary,null,1
s,party,0,4.5,L,Summer,0,full,0,0,0,0,0,1
100664,party,very-high,4.9,M,Spring,Sweetheart,sleeevless,empire,null,chiffon,beading,null,1
100665,party,high,4.6,M,winter,Sweetheart,sleevless,natural,null,chiffon,null,null,0
100666,party,Average,5,M,Spring,Sweetheart,sleevless,natural,polyster,null,null,null,1
100667,party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,null,1
100668,party,very-high,0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,null,1
100669,party,high,4.6,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,null,0
100670,party,Average,4.8,L,0,Sweetheart,sleevless,empire,null,null,pleat,null,1
100671,party,Medium,4.6,S,Winter,Scoop,short,empire,null,null,crystal,null,0
100672,party,very-high,4.9,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,null,1
100673,party,Medium,4.8,S,Spring,v-neck,sleevless,empire,null,null,null,null,1
100674,party,very-high,4.2,L,Winter,v-neck,sleevless,null,null,null,lace,null,1
100675,Casual,Low,4.4,free,Summer,o-neck,sleevless,null,null,null,null,null,1
100676,party,very-high,4.1,M,Winter,Scoop,short,natural,cotton,lace,applique,null,1
100679,party,Average,4.7,free,Winter,o-neck,sleevless,null,polyster,null,null,null,0
100681,party,very-high,4.5,M,Spring,v-neck,cap-sleeves,null,null,null,lace,null,1
100684,party,high,4.6,M,Summer,slash-neck,sleevless,natural,null,chiffon,null,null,1
100686,cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,1
100687,party,Average,5,M,Spring,o-neck,sleevless,null,null,null,null,null,1
100688,party,very-high,4.8,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,null,1
100689,party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,null,1
100690,party,very-high,4.9,L,Spring,slash-neck,sleevless,null,null,chiffon,flowers,null,1
100691,party,Medium,0,free,Winter,v-neck,short,empire,null,chiffon,lace,null,1
100692,work,Average,5,free,Winter,o-neck,half,null,microfiber,null,null,null,0
100693,party,very-high,4.9,M,Spring,v-neck,sleevless,empire,null,sattin,beading,null,1
100694,Casual,high,5,free,Summer,v-neck,sleevless,natural,nylon,null,null,null,1
100695,Casual,very-high,0,small,Spring,o-neck,full,null,null,chiffon,applique,null,0
100696,Casual,Medium,4.7,M,Spring,o-neck,sleevless,natural,cotton,null,bow,null,1
100697,party,Average,0,M,Spring,v-neck,sleevless,natural,null,null,null,null,1
100699,Casual,very-high,4.6,M,winter,o-neck,short,natural,null,null,flowers,null,1
100700,Casual,Low,4.4,free,winter,halter,sleevless,natural,null,null,draped,null,1
100702,Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,null,null,null,null,0
100703,Sexy,Average,5,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,null,0
100704,vintage,Average,4.9,free,Summer,o-neck,urndowncollor,empire,null,null,null,null,0
100705,vintage,Average,4.7,S,Summer,turndowncollor,short,empire,cotton,null,null,null,0
100710,Casual,Average,0,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,null,null,0
100711,Casual,Average,4.2,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork,0
100712,Novelty,Average,0,free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid,0
100713,Casual,Low,4.3,free,Summer,backless,sleevless,empire,chiffonfabric,chiffon,crystal,null,0
100714,Casual,Average,3.7,M,Summer,boat-neck,sleevless,natural,linen,null,null,null,0
100715,Casual,Average,5,free,winter,o-neck,sleevless,natural,polyster,broadcloth,lace,null,1
100718,vintage,Average,4.8,M,Summer,v-neck,full,natural,rayon,poplin,null,null,1
100719,bohemian,Average,4.8,L,Winter,o-neck,sleevless,natural,polyster,chiffon,null,solid,0
100720,bohemian,Average,0,free,Spring,o-neck,sleevless,natural,rayon,chiffon,null,striped,1
100722,Novelty,Medium,4.2,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal,1
100724,Casual,Average,5,L,Winter,o-neck,thressqatar,natural,polyster,null,applique,solid,0
100725,Casual,Low,4.8,M,Winter,v-neck,sleevless,natural,polyster,null,null,print,0
100727,Casual,low,5,free,Spring,bowneck,sleevless,natural,silk,chiffon,applique,print,0
100728,Casual,Low,5,M,Spring,o-neck,sleeevless,natural,chiffonfabric,chiffon,null,solid,1
100730,Novelty,Average,0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,null,1
100731,cute,low,0,L,Spring,o-neck,sleevless,empire,null,null,null,null,1
100733,Sexy,Low,4.8,free,Summer,slash-neck,sleevless,empire,silk,null,lace,solid,0
100734,Casual,Low,4.4,M,Winter,o-neck,sleevless,natural,polyster,null,null,solid,0
100735,Casual,Average,4.5,M,Winter,o-neck,sleevless,natural,polyster,chiffon,ruched,striped,0
100736,Casual,Low,4.7,S,Summer,o-neck,full,natural,cotton,null,null,patchwork,0
100737,Casual,low,4.4,free,Spring,o-neck,sleevless,natural,polyster,null,sashes,print,0
100738,work,Average,4.9,M,Winter,slash-neck,short,natural,polyster,broadcloth,ruffles,solid,0
100739,cute,Medium,4.6,free,Spring,o-neck,short,natural,chiffonfabric,null,hollowout,solid,1
100740,Casual,Low,4.7,free,Spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print,0
100741,Casual,Low,4.7,M,Winter,o-neck,full,empire,polyster,chiffon,null,print,1
100742,Casual,Average,4.8,M,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,print,0
100744,Casual,Average,4.3,M,Spring,o-neck,halfsleeve,null,null,null,null,null,1
100745,Casual,Average,4.7,XL,winter,v-neck,short,empire,milksilk,null,null,print,0
100747,Sexy,Average,4.7,M,Automn,slash-neck,sleevless,natural,nylon,null,rivet,solid,0
100749,Casual,high,0,L,winter,v-neck,full,null,polyster,null,null,solid,0
100750,Casual,Low,4.7,L,Summer,o-neck,sleevless,natural,silk,worsted,lace,patchwork,0
100751,Casual,Average,4.7,free,Summer,v-neck,full,natural,cotton,null,sashes,solid,0
100752,Casual,Average,0,free,Winter,v-neck,full,null,cashmere,null,null,solid,1
100754,Casual,Average,4.7,M,Summer,o-neck,thressqatar,null,chiffonfabric,chiffon,ruched,solid,0
100755,Sexy,low,4.5,free,Summer,slash-neck,sleevless,null,polyster,Corduroy,null,null,0
100756,vintage,low,4,free,Summer,turndowncollor,short,natural,cotton,wollen,hollowout,solid,0
100757,Sexy,low,4.7,free,Summer,v-neck,sleevless,null,null,null,null,null,0
100758,bohemian,low,5,free,Summer,o-neck,sleevless,empire,cotton,broadcloth,tassel,print,1
100759,Casual,low,4.7,S,Winter,o-neck,sleeevless,natural,knitting,null,lace,solid,0
100762,vintage,Low,0,free,Summer,o-neck,sleevless,natural,cotton,batik,null,print,1
100763,Casual,Average,4.1,L,winter,o-neck,sleevless,natural,polyster,null,null,null,1
100765,Brief,Average,4.8,free,winter,v-neck,halfsleeve,natural,polyster,broadcloth,null,solid,0
100766,Brief,Average,4.9,free,Winter,o-neck,sleevless,natural,null,null,null,solid,0
100767,Sexy,Average,4.8,S,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid,0
100768,Casual,Average,4.7,L,Winter,o-neck,sleevless,natural,polyster,chiffon,null,patchwork,0
100769,vintage,Average,4.7,M,Summer,v-neck,short,natural,rayon,null,beading,print,0
100771,Sexy,Low,4.7,M,Winter,v-neck,sleevless,natural,polyster,null,null,striped,0
100772,Casual,Average,5,s,Spring,turndowncollor,full,empire,cotton,worsted,null,solid,0
100774,Sexy,Average,4.1,free,Summer,v-neck,sleevless,natural,cotton,null,lace,null,1
100775,Casual,Low,4,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,hollowout,print,0
100777,cute,Average,4.6,free,Spring,v-neck,full,natural,cotton,chiffon,null,solid,1
100778,Casual,Low,5,M,Spring,o-neck,sleevless,natural,spandex,jersey,null,print,0
